Ship,Class,Type,First commissioned,Fate,Country or organization,Displacement (tons)
Kadashan Bay,Casablanca,escort carrier,18 January 1944,"decommissioned 14 June 1946, scrapped 1959",United States,"7,800"
Kaga,,aircraft carrier,01 November 1929,sunk 4 June 1942,Imperial Japanese Navy,"38,200"
Kaganovich,Kirov,heavy cruiser,06 December 1944,scrapped 6 February 1960,Soviet Navy,"8,200"
Kaiyo,,escort carrier,23 November 1943,"Scrapped, 1 September 1946",Imperial Japanese Navy,"13,600"
Kako,Furutaka class,heavy cruiser,31 July 1926,sunk 10 August 1942,Imperial Japanese Navy,"7,950"
Kalinin,Kirov,heavy cruiser,31 December 1942,scrapped 12 April 1963,Soviet Navy,"8,200"
Kalinin Bay,Casablanca,escort carrier,27 November 1943,"decommissioned 15 May 1946, scrapped 1947",United States,"7,800"
Kalk,Benson,destroyer,17 October 1942,"decommissioned 1946, sunk as target 1969",United States,"1,620"
Kamloops,Flower,corvette,17 March 1941,paid off 27 June 1945,Royal Canadian Navy,925
Kamsack,Flower,corvette,04 October 1941,paid off 22 July 1945,Royal Canadian Navy,925
Kanaris,Hunt,destroyer escort,10 August 1942,"paid off 1959, scrapped 1960",Hellenic Navy,"1,050"
Kandahar,K,destroyer,10 October 1939,sunk 20 December 1941,Royal Navy,"1,690"
Karachi,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Karlsruhe,K class,light cruiser,06 November 1929,sunk 9 April 1940,Kriegsmarine,"6,650"
Kasaan Bay,Casablanca,escort carrier,04 December 1943,"decommissioned 6 July 1946, scrapped 1960",United States,"7,800"
Kashii,Katori class,light cruiser,15 July 1941,sunk 12 January 1945,Imperial Japanese Navy,"6,180"
Kashima,Katori class,light cruiser,31 May 1940,struck 5 October 1945; scrapped 1947,Imperial Japanese Navy,"6,180"
Kashmir,K,destroyer,26 October 1939,sunk 23 May 1941,Royal Navy,"1,690"
Katori,Katori class,light cruiser,20 April 1940,sunk 18 February 1944,Imperial Japanese Navy,"6,180"
Katsuragi,Unryū,aircraft carrier,15 October 1944,Scrapped 1947,Imperial Japanese Navy,"22,534"
Kearny,Gleaves,destroyer,13 September 1940,"decommissioned 1946, scrapped 1972",United States,"1,630"
Keith,B,destroyer,20 March 1931,sunk 1 June 1940,Royal Navy,"1,350"
Kelly,K,destroyer,23 August 1939,sunk 23 May 1941,Royal Navy,"1,690"
Kelvin,K,destroyer,27 November 1939,scrapped 1949,Royal Navy,"1,690"
Kempenfelt,W,destroyer,25 October 1943,paid off January 1946,Royal Navy,"1,710"
Kendrick,Benson,destroyer,12 September 1942,"decommissioned 1946, sunk as target 1966",United States,"1,620"
Kenogami,Flower,corvette,29 June 1941,paid off 9 July 1945,Royal Canadian Navy,925
Kent,County,heavy cruiser,25 June 1928,scrapped January 1948,Royal Navy,"9,750"
Kenya,Crown Colony-class (Fiji Group),light cruiser,27 September 1940,scrapped 1962,Royal Navy,"8,000"
Khartoum,K,destroyer,06 November 1939,sunk 23 June 1940,Royal Navy,"1,690"
Khedive,Ruler,escort carrier,25 August 1943,"paid off 19 July 1946, scrapped 1975",Royal Navy,"11,400"
Kilkis,Kilkis,coastal defence ship,01 April 1908,sunk 23 April 1941,Hellenic Navy,"13,000"
Kimberley,K,destroyer,21 February 1940,scrapped 1949,Royal Navy,"1,690"
King George V,King George V,battleship,11 December 1940,decommissioned and scrapped 1949,Royal Navy,"35,000"
Kingcup,Flower,corvette,30 December 1940,Sold on 31 July 1946. Resold in 1947 as mercantile Rubis and in 1954 as mercantile Seislim. Scrapped in 1959 at Hendrik-Ido-Ambacht.,Royal Navy,925
Kingston,K,destroyer,14 September 1939,constructive total loss 11 April 1942,Royal Navy,"1,690"
Kinu,Nagara,light cruiser,10 November 1922,sunk 26 October 1944,Imperial Japanese Navy,"5,088"
Kinugasa,Aoba,heavy cruiser,30 September 1927,sunk 13 November 1942,Imperial Japanese Navy,"9,000"
Kipling,K,destroyer,22 December 1939,sunk 11 May 1942,Royal Navy,"1,690"
Kirishima,Kongō,battleship,19 April 1915,sunk 15 November 1942,Imperial Japanese Navy,"36,600"
Kirkland Lake,River,frigate,21 August 1944,paid off 14 December 1945,Royal Canadian Navy,"1,445"
Kirov,Kirov,heavy cruiser,"26 September 1938	",scrapped 22 February 1974,Soviet Navy,"7,880"
Kiso,Kuma class,light cruiser,29 January 1921,20 March 1944; Sunk by USN aircraft west of Cavite,Imperial Japanese Navy,"5,100"
Kistna,Black Swan,sloop,26 August 1943,Scrapped 1980,Royal Indian Navy,"1,350"
Kitakami,Kuma class,light cruiser,15 April 1921,30 November 1945; Scrapped,Imperial Japanese Navy,"5,100"
Kitchener,Flower,corvette,28 June 1942,paid off 11 July 1945,Royal Canadian Navy,925
Kitkun Bay,Casablanca,escort carrier,15 December 1943,"decommissioned 19 April 1946, scrapped 1947",United States,"7,800"
Knapp,Fletcher,destroyer,16 September 1943,"Decommissioned: 4 March 1957, scrapped 1972",United States,"2,500"
Knight,Gleaves,destroyer,23 June 1942,"decommissioned 1947, sunk as target 1967",United States,"1,630"
Kokanee,River,frigate,06 June 1944,paid off 21 December 1945,Royal Canadian Navy,"1,445"
Köln,K class,light cruiser,01 January 1930,sunk 3 March 1945,Kriegsmarine,"6,650"
Komet,,auxiliary cruiser,02 June 1940,sunk 14 October 1942,Kriegsmarine,"7,500"
Kondor,1923 Raubvogel,torpedo boat,15 July 1927,"Mined, 23 May 1944, constructive total loss 31 July or 2 August 1944",Kriegsmarine,"1,290"
Kongō,Kongō,battlecruiser,16 August 1913,sunk 21 November 1944,Imperial Japanese Navy,"36,600"
Königsberg,K class,light cruiser,17 April 1929,"sunk 10 April 1940,at Bergen, Norway",Kriegsmarine,"6,650"
Kormoran,,auxiliary cruiser,09 October 1940,"Scuttled following battle, 19 November 1941",Kriegsmarine,"19,900"
Kortenaer,Admiralen,destroyer,03 September 1928,sunk 27 February 1942,Royal Netherlands Navy,"1,680"
Kountouriotis,Freccia modified,destroyer,01 January 1933,decommissioned 1946,Hellenic Navy,"1,389"
Krakowiak,Hunt,destroyer escort,28 May 1941,"returned to RN September 1946, scrapped March 1959.",Poland,"1,050"
Krasnoye Znamya,Krasnoye Znamya class,gunboat,1/1/1897,"Sunk on 18 November 1942, raised, decommissioned in 1960",Soviet Navy,"1,735"
Krasny Kavkaz,Admiral Nakhimov,light cruiser,25 January 1932,Sunk as a target 1956,Soviet Navy,"7,560"
Krasnyi Krym,Svetlana,light cruiser,01 July 1928,Sunk as target in 1959,Soviet Navy,"6,800"
Kujawiak,Hunt,destroyer escort,17 June 1941,sunk 16 June 1942,Poland,"1,050"
Kuma,Kuma class,light cruiser,31 August 1920,Struck on 10 March 1944; torpedoed by HMS Tally-Ho west of Penang,Imperial Japanese Navy,"5,550"
Kumano,Mogami,heavy cruiser,31 October 1931,sunk 15 November 1944,Imperial Japanese Navy,"13,440"
Kwajalein,Casablanca,escort carrier,07 June 1944,"decommissioned 16 August 1946, scrapped 1961",United States,"7,800"
L23,L,submarine,31 October 1924,paid off May 1946,Royal Navy,"1,106"
L26,L,submarine,11 October 1926,sunk as target 1 November 1946,Royal Navy,"1,106"
L27,L,training submarine,,scrapped 1944,Royal Navy,"1,106"
La Argentina,training,light cruiser,,discarded 1974,Argentina,"6,500"
La Bastiaise,Flower,corvette,22 June 1940,Mined during sea trial off Hartlepool on 22 June 1940,French Navy,925
La Galissonnière,La Galissonnière class,light cruiser,01 January 1936,scuttled 27 November 1942,French Navy,"7,600"
La Hulloise,River,frigate,06 December 1945,paid off 16 July 1965,Royal Canadian Navy,"1,445"
La Malbaie,Flower,corvette,28 April 1942,paid off 28 June 1945,Royal Canadian Navy,925
La Malouine,Flower,corvette,29 July 1940,Launched and commissioned as La Malouine for the French Navy. Seized by and completed for RN after the Fall of France (name not changed). Scrapped on 22 May 1947 at Gelliswick Bay.,Royal Navy,925
La Rioja,,destroyer,,,Argentina,"1,570"
Lachute,Flower modified,corvette,26 October 1944,Sold in 1947 to the Dominican Republic and renamed Cristobal Colon. Wrecked by Hurricane David on 30 August 1979.,Royal Canadian Navy,"1,015"
Laffey (I),Benson,destroyer,31 March 1942,sunk 13 November 1942,United States,"1,620"
Laffey (II),Sumner,destroyer,08 February 1944,"decommissioned 1975, memorial at Charleston, SC",United States,"2,200"
Lafolè,Adua,submarine,10 April 1938,"sunk on 20 October 1940, north of Melilla by destroyers HMS Gallant, HMS Hotspur and HMS Griffin",Regia Marina,697
Laforey,L,destroyer,26 August 1941,sunk 30 March 1944 by U-223,Royal Navy,"1,920"
Lagos,Battle,destroyer,02 November 1945,"paid off 1960, scrapped 1967",Royal Navy,"2,325"
Lahore,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Lake Champlain,Ticonderoga,aircraft carrier,03 June 1945,"decommissioned 2 May 1966, scrapped 1972",United States,"27,100"
Lamberton,Wickes,minesweeper destroyer,22 August 1918,scrapped 9 May 1947,United States,"1,090"
Lambridge,,Special Service Ship,,paid off March 1941,Royal Navy,"5,119"
Lamerton,Hunt,destroyer escort,16 August 1941,scrapped 1975,Royal Navy,"1,000"
Lamotte-Piquet,Duguay-Trouin,light cruiser,05 March 1927,sunk 12 January 1945,French Navy,"7,249"
Lampo,Folgore,destroyer,13 August 1932,,Regia Marina,"1,225"
Lamson,Mahan,destroyer,21 October 1936,"sunk in A-bomb test, 1946",United States,"1,450"
Lanark,River,frigate,06 July 1944,paid off 19 March 1965,Royal Canadian Navy,"1,445"
Lance,L,destroyer,13 May 1941,constructive loss and scrapped April 1942,Royal Navy,"1,920"
Lancia,Ariete,torpedo boat,07 May 1944,"Sunk 17 February 1945, scuttled after being hit by an aerial bomb in Trieste.",Regia Marina,745
Lanciere,Soldati,destroyer,25 March 1939,"Capsized and sank 23 March 1942 in heavy storm following Second Battle of Sirte. 16 survivors including one who died later, the 226 casualties included the CO, Commander Costanzo Casana.",Regia Marina,"1,850"
Lang,Benham,destroyer,30 March 1939,scrapped 1947,United States,"1,500"
Langley,Independence,light aircraft carrier,31 August 1943,"decommissioned 11 February 1947, scrapped 1964",United States,"11,000"
Langley,,seaplane carrier,07 April 1913,sunk 27 February 1942,United States,"11,500"
Lansdale,Benson,destroyer,17 September 1940,sunk 20 April 1944,United States,"1,620"
Lansdowne,Gleaves,destroyer,29 April 1942,"to Turkey 1949, scrapped 1973",United States,"1,630"
Lanzerotto Malocello,Navigatori ,destroyer,18 January 1930,"Lost on 24 March 1943 to a mine north of Cape Bon while transporting German troops to Tunis, 199 crew lost (42 survivors) in addition to some hundreds of German soldiers.",Regia Marina,"1,900"
Lardner,Gleaves,destroyer,13 May 1942,"to Turkey 1949, sunk as target 1982",United States,"1,630"
Larkspur,Flower,corvette,04 June 1940,"to USA as Fury 17 March 1942, to UK on 22 August 1945.",Royal Navy,925
Lasalle,River,frigate,29 June 1944,paid off 17 December 1945,Royal Canadian Navy,"1,445"
Latona,Abdiel,minelayer,04 May 1941,lost 25 October 1941,Royal Navy,"2,650"
Laub,Benson,destroyer,24 October 1942,"decommissioned 1946, scrapped 1975",United States,"1,620"
Lauderdale,Hunt,destroyer escort,01 August 1942,"paid off 1946, scrapped 1960",Royal Navy,"1,050"
Lauzon,River,frigate,30 August 1944,paid off 24 May 1963,Royal Canadian Navy,"1,445"
Lavender,Flower,corvette,16 May 1941,Sold on 9 August 1946. Resold 1948 to the Netherlands and converted to whale catcher Eugene Vinke (AM10),Royal Navy,925
Lawford,Captain,frigate,03 November 1943,sunk 8 June 1944,Royal Navy,"1,140"
Lawrence,,sloop,27 December 1919,Scrapped,Royal Indian Navy,"1,245"
Leamington,Town,destroyer,23 October 1940,"to Canada October 1942, to USSR 16 July 1944",Royal Navy,"1,327"
Leander,Leander,light cruiser,23 July 1931,"returned to UK 8 May 1944, scrapped 1950",Royal New Zealand Navy,"6,985"
Ledbury,Hunt,destroyer escort,,Scrapped at Rosyth in April 1958,Royal Navy,"1,050"
Leeds,Caldwell,destroyer,12 January 1918,paid off April 1945,Royal Navy,"1,125"
Legion,L,destroyer,19 December 1940,sunk 26 March 1942,Royal Navy,"1,920"
Legionario,Soldati,destroyer,16 May 1942,"Transferred to France as war reparations, 15 August 1948",Regia Marina,"1,850"
Leipzig,Leipzig,light cruiser,08 October 1931,scuttled 11 July 1946,Kriegsmarine,"6,515"
Leningrad,Leningrad,destroyer,01 December 1936,scrapped in 1960,Soviet Navy,"2,150"
Leon,Aetos,destroyer,19 October 1912,sunk 15 May 1941,Hellenic Navy,"1,030"
Leonardo da Vinci,Marconi,submarine,16 September 1939,sunk on 23 May 1943 by the escorts of convoy KMF 15.,Regia Marina,"1,195"
"Leone	23",Leone,destroyer,01 July 1924,"	Wrecked on uncharted rock 1 April 1941",Regia Marina,"2,195"
Leone Pancaldo,Navigatori ,destroyer,30 November 1929,"Bombed and sunk on 30 April 1943 near Tunisia during a troop transport mission, 156 killed and 124 survivors including Commander Tommaso Ferreri Caputi.",Regia Marina,"1,900"
Leopard,1924 Raubtier,torpedo boat,01 June 1928,"Sunk in collision with the minelayer Preussen, 30 April 1940",Kriegsmarine,"1,320"
Léopard,Chacal,destroyer,31 August 1940,sunk 27 May 1943,Free French Naval Forces,"2,126"
Lethbridge,Flower,corvette,25 June 1941,paid off 23 July 1945,Royal Canadian Navy,925
Levis (I),Flower,corvette,16 May 1941,sunk 19 September 1941 by U-74,Royal Canadian Navy,925
Levis (II),River,frigate,21 July 1944,paid off 21 February 1946,Royal Canadian Navy,"1,445"
Lewes,Caldwell,destroyer,23 October 1940,scuttled 25 May 1946,Royal Navy,"1,125"
Lexington (I),Lexington,aircraft carrier,14 December 1927,sunk 8 May 1942,United States,"33,000"
Lexington (II),Essex,aircraft carrier,17 February 1943,decommissioned 8 November 1991; museum ship,United States,"27,100"
Libeccio,Maestrale,destroyer,23 November 1934,"Sunk by torpedo, 9 November 1941",Regia Marina,"1,640"
Libra,Spica,torpedo boat,19 January 1939,Assisted her sister ship Lupo in the attack on the convoy AN 14 on the night of 31 January 1941.Survived the war and served in the post war Marina Militare. Decommissioned 1964.,Regia Marina,795
Liddesdale,Hunt,destroyer escort,28 February 1941,Scrapped in 1948 at Gateshead,Royal Navy,"1,000"
Lightning,L,destroyer,28 May 1941,sunk 12 March 1943,Royal Navy,"1,920"
Limbourne,Hunt,destroyer escort,24 October 1942,Sunk 23 October 1943,Royal Navy,"1,050"
Linaria,Flower modified,corvette,19 June 1943,paid off 15 January 1948,Royal Navy,"1,015"
Lince,Spica,torpedo boat,01 April 1938,"Along with Lupo, she landed troops during the reconquest of Kastelorizo, in February 1941. Grounded and later destroyed on 28 August 1943 by submarine HMS Ultor.",Regia Marina,795
Lincoln,Town,destroyer,20 October 1940,"to Norway February 1942, to Canada July 1942 - Dec 1943",Royal Navy,"1,190"
Lindsay,Flower modified,corvette,15 November 1943,Sold in 1946 as mercantile North Shore.,Royal Canadian Navy,"1,015"
Ling,Flower,corvette,,Cancelled on 23 January 1941.,Royal Navy,925
Lira,Spica,torpedo boat,01 January 1938,"Scuttled 9 September 1943, recovered by the Germans, and served as TA49, sunk by bombing 4 November 1944.",Regia Marina,795
Liscome Bay,Casablanca,escort carrier,07 August 1943,lost in action 24 November 1943,United States,"7,800"
Litio,Flutto,submarine,,"unfinished at armistice September 1943, continued by Germans, launched 19/2/1944 as UIT 8. Scuttled May 1945",Regia Marina,930
Littorio,Littorio,battleship,06 May 1940,"renamed Italia, scrapped 1948",Regia Marina,"43,835"
Lively,L,destroyer,20 July 1941,sunk 11 May 1942,Royal Navy,"1,920"
Livermore,Gleaves,destroyer,07 October 1940,Sold 3 March 1961 for scrapping,United States,"1,630"
Lobelia,Flower,corvette,16 July 1941,Formerly HMS Lobelia. Transferred on 16 July 1941 to the Free French Navy. Returned to RN in April 1947. Sold and rebuilt as whale catcher Thorgeir for A/S Thor Dahl. Continuous upgrading after the catching seasons until 1955. 1955 steam machinery replaced by a Sulzer diesel engine. 1970 scrapped in Norway.,French Navy,925
Loch Achanalt,Loch,frigate,31 July 1944,"transferred to the  Royal New Zealand Navy in 1945, scrapped in 1965",Royal Canadian Navy,"1,435"
Loch Alvie,Loch,frigate,10 August 1944,"transferred to the Royal Navy in 1945, scrapped in 1965",Royal Canadian Navy,"1,435"
Loch Insh,Loch,frigate,20 October 1944,scrapped in 1977,Royal Navy,"1,435"
Loch Morlich,Loch,frigate,17 July 1944,scrapped in 1966,Royal Canadian Navy,"1,435"
London,County,heavy cruiser,31 January 1929,scrapped 1950,Royal Navy,"9,850"
Long Branch,Flower modified,corvette,05 January 1944,Formerly Candytuft. Sold in 1947 as mercantile Rexton Kent II.,Royal Canadian Navy,"1,015"
Long Island,Long Island,escort carrier,02 June 1941,decommissioned 26 March 1946,United States,"13,500"
Longueuil,River,frigate,18 May 1944,paid off 31 December 1946,Royal Canadian Navy,"1,445"
Looe,,Special Service Ship,,paid off March 1941,Royal Navy,"1,030"
Lookout,L,destroyer,30 January 1942,"paid off 19 October 1945, scrapped February 1948",Royal Navy,"1,920"
Loosestrife,Flower,corvette,25 November 1941,Sold on 4 October 1946. Resold in 1947 as mercantile Kallsevni.,Royal Navy,925
Lorelei,,patrol boat,,"became K4, scrapped 1954",Kriegsmarine,"1,640"
Lorraine,Bretagne,super dreadnought,27 July 1916,Decommissioned 17 February 1953,French Navy,"22,200"
Los Angeles,Baltimore class,heavy cruiser,22 July 1945,scrapped 1974,United States,"17,200"
Lothringen,,minelayer,01 December 1941,sold to merchant service post-war,Kriegsmarine,"1,975"
Lotus,Flower,corvette,23 May 1942,Transferred on 23 May 1942 to the Free French Navy as Commandant d'Estienne d'Orves. Returned to RN on 31 May 1947. Sold 23 October 1947. BU May 1951.,Royal Navy,925
Louisburg (I),Flower,corvette,02 October 1941,sunk on 6 February 1943 by Luftwaffe aircraft,Royal Canadian Navy,925
Louisburg (II),Flower modified,corvette,13 December 1943,Sold in 1947 to the Dominican Republic and renamed Juan Alejandro Acosta. Wrecked by Hurricane David on 30 August 1979.,Royal Canadian Navy,"1,015"
Louisville,Northampton,heavy cruiser,15 January 1931,scrapped 1959,United States,"9,200"
Loyal,L,destroyer,31 October 1942,"constructive loss 12 October 1944, scrapped 1948",Royal Navy,"1,920"
Luca Tarigo,Navigatori ,destroyer,16 November 1929,"Sunk by British destroyers on 16 April 1941, but not before torpedoing and sinking the British destroyer HMS Mohawk. See Battle of the Tarigo Convoy. Only 36 crew survived.",Regia Marina,"1,900"
Luchs,1924 Raubtier,torpedo boat,15 April 1929,"Torpedoed by HMS Thames, 26 July 1940",Kriegsmarine,"1,320"
Luciano Manara,Bandiera,submarine,5 October 1929,"Discarded, 1 February 1949",Regia Marina,940
Lucknow,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Ludlow,Gleaves,destroyer,05 March 1941,"to Greece 1951, scrapped 1972",United States,"1,630"
Luigi Cadorna,Cadorna class,light cruiser,11 August 1933,scrapped 1951,Regia Marina,"5,323"
Luigi Di Savoia Duca Degli Abruzzi,Duca degli Abruzzi class,light cruiser,01 December 1937,scrapped 1972,Regia Marina,"9,952"
Luigi Settembrini,Settembrini,submarine,29 September 1930,"Sunk, 15 November 1944",Regia Marina,953
Luigi Torelli,Marconi,submarine,6 January 1940,commissioned into the German Kriegsmarine as UIT-25 when Italy capitulated to the Allies in September 1943.,Regia Marina,"1,195"
Lunenburg,Flower,corvette,04 December 1941,paid off 23 July 1945,Royal Canadian Navy,925
Lunga Point,Casablanca,escort carrier,14 May 1944,"decommissioned 24 October 1946, scrapped 1960",United States,"7,800"
Lupo,Spica,torpedo boat,28 February 1938,"Along with Libra, torpedoed the British tanker Desmoulea (8120 tn) in the Kasos straits on 31 January 1941 at the position 35°33′32″N 25°34′14″E disabling her for the rest of the war. The tanker was part of the convoy AN.14, and had departed Alexandria for Piraeus. Captained by Francesco Mimbelli during the reconquest of Kastelorizo and the Battle of Crete, where she survived a battle against three cruisers and five destroyers, saving half of a small ships convoy. Sunk 2 December 1942 by destroyers HMS Jervis, Javelin, Janus and Kelvin while picking up survivors from the Italian cargo ship Veloce, sunk by torpedo bombers en route to Tripoli. Two other steamers, part of the same convoy, eventually reached home.",Regia Marina,795
Lützow,Admiral Hipper,heavy cruiser,,"sold to USSR 1940 became Petropavlovsk, then Tallinn",Kriegsmarine,"14,680"
Macallé,Adua,submarine,29 October 1936,assigned to the Red Sea Flotilla and ran aground on 15 June 1940 when the crew was disabled by central nervous system poisoning from a chloromethane leak in the ship's air conditioning system.,Regia Marina,697
Macdonough,Farragut,destroyer,15 March 1935,scrapped 1947,United States,"1,365"
MacKenzie,Benson,destroyer,21 November 1942,"decommissioned 1946, sunk as target 1974",United States,"1,620"
Macoma,Rapana,merchant aircraft carrier,01 April 1944,transferred to merchant service post-war,Netherlands,"8,000"
Macomb,Gleaves,destroyer,26 January 1942,"to Japan 1954, to Taiwan 1970, scrapped 1980",United States,"1,630"
Maddox,Gleaves,destroyer,31 October 1942,sunk 10 July 1943,United States,"1,630"
Madison,Benson,destroyer,06 August 1940,"decommissioned 1946, sunk as target 1969",United States,"1,620"
Madras,Bathurst,corvette,12 May 1942,Decommissioned 1960,Royal Indian Navy,"1,025"
Madura,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Maestrale,Maestrale,destroyer,29 September 1934,"Sunk by sabotage, 9 September 1943",Regia Marina,"1,640"
Maggiore Francesco Baracca,Marconi,submarine,21 April 1940,sunk by HMS Croome on 7 September 1941,Regia Marina,"1,195"
Magog,River,frigate,07 May 1944,paid off 20 December 1944,Royal Canadian Navy,"1,445"
Mahan,Mahan,destroyer,18 September 1936,sunk 7 December 1944,United States,"1,450"
Mahratta,M,destroyer,28 July 1942,sunk 25 February 1944,Royal Navy,"1,920"
Mahroussa,,yacht,,,Egypt,"3,417"
Makassar Strait,Casablanca,escort carrier,27 April 1944,"decommissioned 9 August 1946, scrapped 1961",United States,"7,800"
Makin Island,Casablanca,escort carrier,09 May 1944,"decommissioned 19 April 1946, scrapped 1947",United States,"7,800"
Malachite,Perla,submarine,9 February 1943,Sunk by Dutch submarine HNMS Dolfijn,Regia Marina,695
Malaya,Queen Elizabeth,battleship,01 February 1916,"decommissioned 1944, scrapped 1948",Royal Navy,"31,000"
Mallow,Flower,corvette,02 July 1940,Shared sinking of U-204 19 October 41. Transferred on 11 January 1944 to the Yugoslav Navy as Nada. Renamed in 1948 as Partizanka. Returned to RN in 1948. Transferred in 1948 to the Egyptian Navy as El Sudan.,Royal Navy,925
Manila Bay,Casablanca,escort carrier,10 July 1943,"decommissioned 31 July 1946, scrapped 1959",United States,"7,800"
Manligheten,Äran,coastal defence ship,,paid off 1950,Swedish Navy,"3,650"
Mansfield,Town,destroyer,23 October 1940,paid off 22 June 1944,Royal Navy,"1,190"
Manxman,Abdiel,minelayer,20 June 1941,scrapped 1971,Royal Navy,"2,650"
Maori,Tribal,destroyer,02 January 1939,sunk 12 February 1942,Royal Navy,"2,020"
Maplin,,fighter catapult ship,,,Royal Navy,
Mărășești,Vifor,destroyer,01 July 1920,"Seized by the Soviet Union, 5 September 1945",Romania,"1,760"
Mărăști,Vifor,destroyer,01 July 1920,"Seized by the Soviet Union, 5 September 1944",Romania,"1,760"
Marblehead,Omaha,light cruiser,08 September 1924,scrapped 1946,United States,"7,050"
Marcello,Marcello,submarine,5 March 1938,lost to unknown causes on its next patrol in late February 1941,Regia Marina,"1,060"
Marcilio Dias,Marcilio Dias,destroyer,29 November 1943,Decommissioned 22 August 1972,Brazil,"1,500"
Marcus Island,Casablanca,escort carrier,26 January 1944,"decommissioned 12 December 1946, scrapped 1960",United States,"7,800"
Marea,Flutto,submarine,10 December 1942,surrendered to the Allies in September 1943,Regia Marina,930
Marguerite,Flower,corvette,20 November 1940,Sold in 1947 as a weather ship becoming Ocean Weather Ship (OWS) Weather Observer.Scrapped on 8 September 1961 at Ghent.,Royal Navy,925
Marigold,Flower,corvette,28 February 1941,"Torpedoed and sunk on 9 December 1942 by the Aviazione Ausiliara per la Marina while escorting convoy KMS.3Y off Algiers at 36-50N, 03-00E. 40 crew were killed.",Royal Navy,925
Mariz e Barros,Marcilio Dias,destroyer,29 November 1943,Decommissioned 22 August 1972,Brazil,"1,500"
Marjoram,Flower,corvette,,Cancelled on 23 January 1941. Pennant number K206,Royal Navy,925
Marne,M,destroyer,02 December 1941,scrapped 1970,Royal Navy,"1,920"
Marocain,Cannon,destroyer escort,29 February 1944,"to Free French 29 February 1944, decommissioned May 1964",United States,"1,240"
Marseillaise,La Galissonniere class,light cruiser,10 October 1937,scuttled 27 November 1942,French Navy,"7,600"
Marshal Ney,Marshal Ney,monitor,01 August 1915,scrapped in 1957,Royal Navy,"6,700"
Marshal Soult,Marshal Ney,monitor,01 August 1915,scrapped July 1946,Royal Navy,"6,700"
Marsuinul,Marsuinul,submarine,01 July 1943,"captured by the Soviet Union August 1944, scrapped after the war",Romania,860
Martin,M,destroyer,,sunk 10 November 1942,Royal Navy,"1,920"
Maryland,Colorado,battleship,21 July 1921,"decommissioned 1947, scrapped 1959",United States,"32,600"
Mashona,Tribal,destroyer,28 March 1939,sunk 28 May 1941,Royal Navy,"2,020"
Mason,Evarts,destroyer escort,20 March 1944,Scrapped 1947,United States,"1,140"
Massachusetts,South Dakota,battleship,12 May 1942,"Decommissioned 27 March 1947, museum ship",United States,"37,970"
Matabele,Tribal,destroyer,25 January 1939,sunk 17 January 1941,Royal Navy,"2,020"
Matane,River,frigate,22 October 1943,paid off 11 February 1946,Royal Canadian Navy,"1,445"
Matanikau,Casablanca,escort carrier,22 May 1944,"decommissioned 11 October 1946, scrapped 1960",United States,"7,800"
Matapedia,Flower,corvette,09 May 1941,paid off 16 June 1945,Royal Canadian Navy,925
Matchless,M,destroyer,12 February 1942,paid off 12 February 1942,Royal Navy,"1,920"
Maunder,,Special Service Ship,,paid off March 1941,Royal Navy,"5,072"
Mauritius,Crown Colony-class (Fiji Group),light cruiser,01 January 1941,scrapped 1965,Royal Navy,"8,000"
Maury,Gridley,destroyer,05 August 1938,scrapped 1946,United States,"1,590"
Maxim Gorky,Kirov,heavy cruiser,12 December 1940,scrapped 18 April 1959,Soviet Navy,"8,200"
Maya,Takao,heavy cruiser,30 June 1932,Sunk 23 October 1944,Imperial Japanese Navy,"13,350"
Mayflower,Flower,corvette,28 November 1940,"to Canada 15 May 1941, paid off 31 May 1945",Royal Navy,925
Mayo,Benson,destroyer,18 September 1940,"decommissioned 1946, scrapped 1972",United States,"1,620"
Mayrant,Benson,destroyer,13 September 1939,scuttled after A-bomb test 1948,United States,"1,500"
McCall,Gridley,destroyer,22 June 1938,scrapped 1947,United States,"1,590"
McCalla,Gleaves,destroyer,27 May 1942,"to Turkey 1949, scrapped 1973",United States,"1,630"
McCook,Gleaves,destroyer,15 March 1943,"decommissioned 1949, scrapped 1973",United States,"1,630"
McDougal,Porter,destroyer,23 December 1936,scrapped 1949,United States,"1,850"
McLanahan,Benson,destroyer,19 December 1942,"decommissioned 1946, scrapped 1974",United States,"1,620"
Meade,Benson,destroyer,22 June 1942,"decommissioned 1946, sunk as target 1973",United States,"1,620"
Medusa,Argonauta,submarine,10 December 1931,"Sunk by HMS Thorn, 30 January 1942",Regia Marina,660
Medway,Submarine tender,submarine tender,01 July 1929,sunk 30 June 1942,Royal Navy,"14,650"
Melbreak,Hunt,destroyer escort,10 October 1942,paid off and scrapped 1956,Royal Navy,"1,050"
Melvin,Fletcher,destroyer,24 November 1943,"Decommissioned 13 January 1954, scrapped 1975",United States,"2,050"
Memphis,Omaha,light cruiser,17 December 1925,scrapped 1947,United States,"7,050"
Mendip,Hunt,destroyer escort,12 October 1940,"paid off 20 May 1946, scrapped 1972",Royal Navy,"1,000"
